route_id,obs_len,rank,neighbor_route_id,probability,cos_dist,ade_raw_m,fde_raw_m,ade_snapped_m,fde_snapped_m,corridor_dist_raw_m,corridor_dist_snapped_m,is_top1
C007,20,6,C012,0.112082,0.089039,56.6527,64.7807,56.7604,64.7807,0.3779,0.0,0
C008,12,1,C004,0.230438,0.009624,0.6213,0.0,0.8238,0.0,0.3677,0.0,1
C008,12,2,C011,0.210256,0.014207,12.2784,19.0121,12.4566,19.0121,0.2504,0.0,0
C008,12,3,C027,0.207985,0.01475,12.7854,19.0121,12.8872,19.0121,0.2507,0.0,0
C008,12,4,C024,0.159767,0.027938,2.4216,0.0,2.5122,0.0,0.3372,0.0,0
C008,12,5,G014,0.098223,0.052262,30.3324,50.4975,30.2202,50.4975,0.2862,0.0,0
C008,12,6,C009,0.093332,0.054815,31.1173,50.4975,31.2077,50.4975,0.2481,0.0,0
C008,16,1,C004,0.239052,0.003811,0.6213,0.0,0.8238,0.0,0.3677,0.0,1
C008,16,2,C011,0.216538,0.008757,12.2784,19.0121,12.4566,19.0121,0.2504,0.0,0
C008,16,3,C027,0.211425,0.009952,12.7854,19.0121,12.8872,19.0121,0.2507,0.0,0
C008,16,4,C024,0.151599,0.026583,2.4216,0.0,2.5122,0.0,0.3372,0.0,0
C008,16,5,G014,0.093164,0.050927,30.3324,50.4975,30.2202,50.4975,0.2862,0.0,0
C008,16,6,C009,0.088222,0.053653,31.1173,50.4975,31.2077,50.4975,0.2481,0.0,0
C008,20,1,C004,0.258474,0.002498,0.6213,0.0,0.8238,0.0,0.3677,0.0,1
C008,20,2,C011,0.222962,0.009887,12.2784,19.0121,12.4566,19.0121,0.2504,0.0,0
C008,20,3,C027,0.212174,0.012367,12.7854,19.0121,12.8872,19.0121,0.2507,0.0,0
C008,20,4,C024,0.139106,0.033475,2.4216,0.0,2.5122,0.0,0.3372,0.0,0
C008,20,5,G014,0.086025,0.057505,30.3324,50.4975,30.2202,50.4975,0.2862,0.0,0
C008,20,6,C009,0.081259,0.060355,31.1173,50.4975,31.2077,50.4975,0.2481,0.0,0
C009,12,1,C025,0.186506,0.004848,0.1253,0.0,0.3282,0.0,0.2475,0.0,1
C009,12,2,G018,0.183285,0.005719,8.1956,9.9518,8.3531,9.9518,0.3356,0.0,0
C009,12,3,G014,0.180383,0.006517,1.0596,0.0,1.2093,0.0,0.2862,0.0,0
C009,12,4,C010,0.173988,0.008322,7.8848,9.9518,8.0071,9.9518,0.2908,0.0,0
C009,12,5,C026,0.170569,0.009314,8.4467,9.9518,8.5242,9.9518,0.2674,0.0,0
C009,12,6,C014,0.105269,0.033445,27.682,50.4975,27.4699,50.4975,0.326,0.0,0
C009,16,1,C025,0.187787,0.001666,0.1253,0.0,0.3282,0.0,0.2475,0.0,1
C009,16,2,G014,0.184755,0.00248,1.0596,0.0,1.2093,0.0,0.2862,0.0,0
C009,16,3,G018,0.182856,0.002997,8.1956,9.9518,8.3531,9.9518,0.3356,0.0,0
C009,16,4,C010,0.173272,0.005689,7.8848,9.9518,8.0071,9.9518,0.2908,0.0,0
C009,16,5,C026,0.166957,0.007545,8.4467,9.9518,8.5242,9.9518,0.2674,0.0,0
C009,16,6,C014,0.104373,0.031033,27.682,50.4975,27.4699,50.4975,0.326,0.0,0
C009,20,1,C025,0.192564,0.000676,0.1253,0.0,0.3282,0.0,0.2475,0.0,1
C009,20,2,G014,0.19222,0.000765,1.0596,0.0,1.2093,0.0,0.2862,0.0,0
C009,20,3,G018,0.18091,0.003797,8.1956,9.9518,8.3531,9.9518,0.3356,0.0,0
C009,20,4,C010,0.170398,0.00679,7.8848,9.9518,8.0071,9.9518,0.2908,0.0,0
C009,20,5,C026,0.16168,0.009416,8.4467,9.9518,8.5242,9.9518,0.2674,0.0,0
C009,20,6,C014,0.102227,0.032337,27.682,50.4975,27.4699,50.4975,0.326,0.0,0
C010,12,1,C026,0.203087,0.003918,0.5945,0.0,0.7917,0.0,0.2674,0.0,1
C010,12,2,G018,0.19765,0.005275,0.7783,0.0,0.9317,0.0,0.3356,0.0,0
C010,12,3,C025,0.178307,0.010424,7.7832,9.9518,7.7651,9.9518,0.2475,0.0,0
C010,12,4,C009,0.170006,0.012808,7.8848,9.9518,7.8439,9.9518,0.2481,0.0,0
C010,12,5,G014,0.158957,0.016168,8.8969,9.9518,8.9994,9.9518,0.2862,0.0,0
C010,12,6,G019,0.091994,0.043513,19.6103,40.6074,19.5447,40.6074,0.1879,0.0,0
C010,16,1,C026,0.200873,0.002194,0.5945,0.0,0.7917,0.0,0.2674,0.0,1
C010,16,2,G018,0.196868,0.003201,0.7783,0.0,0.9317,0.0,0.3356,0.0,0
C010,16,3,C025,0.179382,0.007851,7.7832,9.9518,7.7651,9.9518,0.2475,0.0,0
C010,16,4,C009,0.173152,0.009619,7.8848,9.9518,7.8439,9.9518,0.2481,0.0,0
C010,16,5,G014,0.161885,0.012983,8.8969,9.9518,8.9994,9.9518,0.2862,0.0,0
C010,16,6,G019,0.087838,0.043553,19.6103,40.6074,19.5447,40.6074,0.1879,0.0,0
C010,20,1,C026,0.198363,0.001275,0.5945,0.0,0.7917,0.0,0.2674,0.0,1
C010,20,2,G018,0.195692,0.001953,0.7783,0.0,0.9317,0.0,0.3356,0.0,0
C010,20,3,C025,0.182255,0.00551,7.7832,9.9518,7.7651,9.9518,0.2475,0.0,0
C010,20,4,C009,0.177648,0.00679,7.8848,9.9518,7.8439,9.9518,0.2481,0.0,0
C010,20,5,G014,0.165205,0.010421,8.8969,9.9518,8.9994,9.9518,0.2862,0.0,0
C010,20,6,C014,0.080837,0.046159,33.8061,59.5936,33.5876,59.5936,0.326,0.0,0
C011,12,1,C027,0.225769,0.006159,0.5713,0.0,0.6761,0.0,0.2507,0.0,1
C011,12,2,C024,0.180178,0.017437,9.9585,19.0121,10.0208,19.0121,0.3372,0.0,0
C011,12,3,C004,0.169671,0.020441,11.7499,19.0121,11.879,19.0121,0.3677,0.0,0
C011,12,4,C008,0.156183,0.024583,12.2784,19.0121,12.3816,19.0121,0.4079,0.0,0
